,repair_cost-,repair_time-parallel,repair_time-sequential
2283,3856776.069987285,609.9339706226933,1776.7210718988567
2284,3591839.4265447683,850.4056795958737,2215.370653263879
2285,4462880.258390332,1119.2221607101437,2364.0292074824915
2286,3870831.315351895,1025.099795208378,2664.379394354319
2287,2211564.0657305876,468.6046500443757,1078.80912587554
2288,3536398.9547933545,807.4294447841181,1834.9559366438182
2289,4360979.182505565,757.1858848070189,2458.464004824591
2290,2079872.4689055576,457.9354369508842,1235.1645740671534
2291,3705544.0325871995,741.1520193094078,2022.474672137202
2292,3603819.0567018106,679.0032272393158,2083.573197234646
2293,4012037.454922689,1060.5579157642123,2162.8370343343618
2294,2541956.4594419883,487.31099127670745,1411.1450148986803
2295,4509444.542289418,959.8176345195386,2603.4274515132483
2296,4069496.1885764333,773.8984139055176,2258.56204170242
2297,4837387.063310159,1097.3186255095447,2705.169867539052
2298,2643114.9518506597,535.0146144459752,1406.2131322700698
2299,3464479.1234624526,956.2669656952622,2374.556365331479
2300,3862240.4128176947,990.1337763604632,2609.8600050709065
2301,3419625.940105495,1141.147060264458,2248.994129027587
2302,3641896.45982026,682.063766901467,1674.227427367985
2303,3941361.25514859,583.565548517481,1760.480077896294
2304,3656328.0828943164,688.9398308545752,1956.7513392319147
2305,5210576.498607432,1744.76726810341,3300.022121759679
2306,3234076.5709153293,698.3665129055807,1704.1987449592582
2307,3777012.046469407,899.0222331967877,1797.418316529051
2308,4602397.343606924,1066.890381655896,2735.0762311823405
2309,4547200.177781464,1186.457554804943,2976.9016636543756
2310,3247967.045614778,755.2760656135986,1758.7571839902628
2311,3603404.858907024,703.3377697094977,2237.105168235171
2312,2879125.262033101,774.6417434348601,1523.9093229631922
2313,11215934.403931864,17052.13716923225,17052.13716923225
2314,11595021.952367822,18060.709505619154,18060.709505619154
2315,9429908.365473697,0.0,0.0
2316,3868030.0338403685,1077.7230860622042,2491.1727237088407
2317,3585592.4986616266,680.2347137321278,1981.2143418875817
2318,2943162.858621398,584.0035532496287,1632.5409477672042
2319,10295504.554733956,1293.7059704533908,3238.472023252879
2320,10014539.68560676,0.0,0.0
2321,10115405.64160794,0.0,0.0
2322,4173537.5583830643,971.2844402663083,2682.109367137308
2323,4144088.2037272155,1001.773566056632,2474.690533107016
2324,4214539.89331131,927.0563253320606,2466.9496087961875
2325,4123623.1983360937,1013.2964170224175,2878.980987788214
2326,5110569.734407976,1804.7555961226635,3242.3588372108798
2327,4646157.643226481,1404.7814953463046,2954.6762367972005
2328,4394988.322138188,1191.976602298357,2598.889556697034
2329,3181530.677395721,712.397805945008,2227.1282945811304
2330,4146891.895087338,1165.9346414735064,2611.390221915359
2331,3006100.738054038,456.8844277273589,1369.1443924717405
2332,4404499.476406823,1282.491356850661,2587.773313171197
2333,3064647.3470160416,800.7448670686349,1908.7211727907675
2334,4459038.816991607,905.4678403455497,2597.8579529877707
2335,5068963.381390253,876.5694955008195,2747.27102118629
2336,4463727.975860494,828.5609158040033,2358.417766598264
2337,5005844.2566383965,971.0495403235867,2558.005932268177
2338,3404124.1958408365,562.4512256122432,1581.5066846842883
2339,2594621.9964056164,684.7114777324249,1466.342345810196
2340,3643862.890121849,767.5628396696605,1992.1428788827216
2341,3253587.4463526593,652.6355331005796,1775.211968218032
2342,4809188.065513462,1047.0209210403605,2243.4592730204854
2343,3440345.4567917255,493.85585565242593,1632.6174305319
2344,4103666.475936942,578.1039989574397,1789.8669779013926
2345,4266144.052449878,1289.3086011436453,2696.2513523518296
2346,4684025.212316885,1083.8764129029769,2859.827815865731
2347,11496084.828972545,18169.04583382635,18169.04583382635
2348,9379686.491486482,1026.6230195223702,2610.536068888686
